timestamp	px_est	py_est	v_est	yaw_est	yawrate_est	sensor_type	NIS	px_meas	py_meas	px_gt	py_gt	vx_gt	vy_gt	yaw_gt	yawrate_gt	x_rmse	y_rmse	vx_rmse	vy_rmse
1477010443000000	0.312243	0.58034	1	1	1	L	0	0.312243	0.58034	0.6	0.6	5.19994	0	0	0.00691132	0.287757	0.0196602	4.65963	0.841471
1477010443050000	0.732533	0.630458	4.83349	0.125841	0.963323	R	16.4876	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0.000345566	0.0138215	0.222544	0.0256073	3.30725	0.732775
1477010443100000	1.01065	0.570817	4.95194	-0.502105	0.897633	L	2.78414	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.00103664	0.0207296	0.192359	0.0269339	2.74549	1.50327
1477010443150000	1.22583	0.524664	5.31778	-0.0889836	1.11248	R	2.8937	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.00207312	0.0276344	0.183547	0.0445727	2.37817	1.32411
1477010443200000	1.54225	0.540076	5.36611	-0.00795347	1.11744	L	1.22344	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.00345484	0.0345348	0.169879	0.0483758	2.12842	1.18463
1477010443250000	1.79433	0.548595	5.37083	0.0614555	1.16968	R	0.411478	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.00518158	0.0414297	0.160947	0.0493348	1.94411	1.08846
1477010443300000	2.09251	0.589989	5.40431	0.13081	1.19912	L	0.752689	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.00725307	0.0483182	0.151157	0.0459848	1.80093	1.0388
1477010443350000	2.3101	0.6456	5.24459	0.22344	1.30471	R	2.08531	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0.00966898	0.0551989	0.146593	0.0452051	1.68486	1.04821
1477010443400000	2.58257	0.698108	5.2734	0.259854	1.19071	L	0.36814	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.0124289	0.062071	0.141923	0.0519196	1.58884	1.07781
1477010443450000	2.85696	0.688525	5.28045	0.1948	0.752867	R	1.05888	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.0155325	0.0689333	0.137119	0.0547697	1.50731	1.06496
1477010443500000	3.09557	0.714715	5.25231	0.20012	0.647728	L	0.740664	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.0189791	0.0757847	0.134384	0.0599192	1.43722	1.05466
1477010443550000	3.39437	0.60152	5.24578	0.0166537	0.014305	R	4.29349	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	0.0227684	0.0826241	0.129978	0.0576927	1.37613	1.0098
1477010443600000	3.704	0.504947	5.28296	-0.107505	-0.319227	L	4.54035	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	0.0268996	0.0894504	0.124937	0.0652586	1.32227	0.989773
1477010443650000	3.97879	0.577272	5.34934	-0.0103207	-0.0282021	R	2.31255	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	0.0313721	0.0962627	0.120393	0.0648588	1.27492	0.955546
1477010443700000	4.25564	0.574558	5.36323	-0.0128407	-0.0298231	L	0.154863	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.0361852	0.10306	0.116417	0.0652783	1.23257	0.925518
1477010443750000	4.51451	0.606494	5.32534	0.0153933	0.0303694	R	0.789524	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.0413382	0.10984	0.112821	0.0643818	1.19398	0.896738
1477010443800000	4.70512	0.714821	5.22401	0.109584	0.209457	L	9.09407	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	0.0468302	0.116604	0.110103	0.0635307	1.15834	0.87361
1477010443850000	4.95894	0.70934	5.16441	0.0921634	0.158198	R	2.32732	5.20902	0.66599	5.01315	0.679804	5.1727	0.272649	0.0526604	0.123349	0.107761	0.062132	1.12572	0.850339
1477010443900000	5.26486	0.699546	5.22705	0.070692	0.108046	L	3.6269	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	0.0588279	0.130074	0.104899	0.0604871	1.09575	0.827792
1477010443950000	5.5241	0.706648	5.2556	0.0684305	0.0953047	R	1.52359	5.22835	0.639362	5.53013	0.710295	5.16422	0.337868	0.0653316	0.136779	0.102252	0.0589612	1.06815	0.806847
1477010444000000	5.82246	0.71513	5.30242	0.0640739	0.0814884	L	2.10255	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	0.0721706	0.143463	0.100066	0.0576095	1.04281	0.787436
1477010444050000	6.06813	0.644879	5.22294	0.0118401	-0.00610031	R	4.59006	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	0.0793437	0.150124	0.097877	0.0603991	1.01894	0.7729
1477010444100000	6.32578	0.747932	5.22334	0.0733469	0.0856912	L	2.69732	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	0.0868499	0.156761	0.0958352	0.0592362	0.996622	0.756034
1477010444150000	6.57657	0.779688	5.18588	0.0849578	0.0960548	R	0.487568	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.0946879	0.163373	0.0938705	0.0580482	0.975652	0.740181
1477010444200000	6.82797	0.774109	5.17604	0.0738958	0.0738	L	0.341782	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.102857	0.169959	0.0919952	0.0575484	0.955956	0.725829
1477010444250000	7.07238	0.75957	5.09051	0.0585075	0.0472333	R	3.4708	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	0.111355	0.176519	0.0902099	0.0588979	0.937433	0.713783
1477010444300000	7.29489	0.836928	5.05447	0.0960964	0.0942397	L	2.29638	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	0.120181	0.183051	0.0887944	0.0582685	0.920063	0.700909
1477010444350000	7.58639	0.850775	5.1568	0.0932499	0.0842936	R	4.48895	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	0.129333	0.189554	0.0871944	0.0582124	0.903496	0.68916
1477010444400000	7.83968	0.825881	5.14878	0.071775	0.0508367	L	0.797746	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.138811	0.196027	0.085679	0.0611218	0.887807	0.680167
1477010444450000	8.0899	0.8446	5.09074	0.0741399	0.050086	R	2.52872	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	0.148612	0.202468	0.0842483	0.0648945	0.872888	0.672416
1477010444500000	8.3296	0.857825	5.07246	0.0742345	0.0469952	L	0.3641	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.158735	0.208879	0.0829678	0.0700323	0.858701	0.666114
1477010444550000	8.59704	0.946114	5.16271	0.111298	0.0920403	R	6.38903	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	0.169179	0.215255	0.0816725	0.0718147	0.845256	0.657649
1477010444600000	8.83607	1.00052	5.14297	0.129204	0.109025	L	0.583843	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.179942	0.221599	0.080514	0.0730079	0.832392	0.649144
1477010444650000	9.12482	1.0399	5.1987	0.135677	0.110031	R	6.81042	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	0.191022	0.227907	0.0793613	0.0744547	0.820289	0.641214
1477010444700000	9.36378	1.06957	5.17441	0.139094	0.107504	L	0.629187	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.202417	0.234179	0.0782201	0.0767328	0.808668	0.634204
1477010444750000	9.64219	1.14246	5.2257	0.160862	0.128049	R	4.4014	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	0.214126	0.240414	0.0772841	0.0779597	0.797758	0.62674
1477010444800000	9.91603	1.26638	5.26	0.205718	0.176728	L	2.95827	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	0.226147	0.246611	0.0767381	0.0772508	0.787342	0.61833
1477010444850000	10.1646	1.35709	5.20192	0.234205	0.203937	R	4.78372	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	0.238478	0.252769	0.0762073	0.0762568	0.777048	0.61014
